Price,Close,High,Low,Open,Volume
Ticker,IVV,IVV,IVV,IVV,IVV
Datetime,,,,,
2026-08-05 09:30,780.0,780.08002,779.42999,779.5,141500
2026-08-05 09:31,779.90002,780.41998,779.84003,780.01001,22529
2026-08-05 09:32,779.31,779.90997,778.96997,779.84998,27961
2026-08-05 09:33,779.47998,779.66498,779.32001,779.32001,5730
2026-08-05 09:34,779.88,779.88,779.38,779.52002,7161
2026-08-05 09:35,780.02002,780.20001,779.71002,779.89001,6612
2026-08-05 09:36,779.26001,779.92352,778.95001,779.90997,14188
2026-08-05 09:37,779.25,779.52502,779.14008,779.27002,8814
2026-08-05 09:38,779.59998,779.79498,779.22498,779.23999,11070
2026-08-05 09:39,780.19,780.64001,779.28003,779.375,23637
2026-08-05 09:40,780.07001,780.47998,779.95001,780.17999,7113
2026-08-05 09:41,780.15997,780.16498,779.89001,779.96002,6052
2026-08-05 09:42,780.04089,780.13,779.96527,780.13,5404
2026-08-05 09:43,779.89001,780.12,779.65002,780.03003,7321
2026-08-05 09:44,780.08002,780.17999,779.57001,779.935,16869
2026-08-05 09:45,779.25,780.34003,779.21997,780.22998,18063
2026-08-05 09:46,779.12,779.53003,779.09003,779.12701,11120
2026-08-05 09:47,779.495,779.54999,779.13,779.15002,10790
2026-08-05 09:48,779.55499,779.85999,779.42499,779.46997,6770
2026-08-05 09:49,779.04999,779.52502,779.03998,779.52002,8874
2026-08-05 09:50,778.40002,779.09998,778.07001,779.09998,41683
2026-08-05 09:51,778.59003,778.67999,778.21997,778.41998,6136
2026-08-05 09:52,778.89001,779.06,778.60999,778.61499,5438
2026-08-05 09:53,779.04999,779.37,778.71503,778.78003,3351
2026-08-05 09:54,779.58002,779.58002,778.75,779.17499,3500
2026-08-05 09:55,779.39001,779.66498,779.20001,779.55499,4330
2026-08-05 09:56,779.32001,779.53003,779.09003,779.40002,12767
2026-08-05 09:57,779.82001,779.82001,779.29999,779.29999,3997
2026-08-05 09:58,780.26001,780.26001,779.82501,779.84497,4809
2026-08-05 09:59,780.39502,780.39502,780.125,780.34497,7468
2026-08-05 10:00,779.81,780.34998,779.34998,779.83002,19513
2026-08-05 10:01,779.28998,779.745,779.19,779.70001,6915
2026-08-05 10:02,778.96002,779.27002,778.71002,779.27002,6322
2026-08-05 10:03,779.5,779.64001,778.98999,779.5,7439
2026-08-05 10:04,779.37,779.65002,779.16992,779.47998,7729
2026-08-05 10:05,779.81,780.21997,779.46002,779.46002,7351
2026-08-05 10:06,779.59998,779.90997,779.34003,779.71497,18269
2026-08-05 10:07,779.56,779.82068,779.48999,779.64502,11985
2026-08-05 10:08,779.60999,779.89001,779.57538,779.57538,3222
2026-08-05 10:09,779.69,780.0144,779.61499,779.61499,7999
2026-08-05 10:10,779.97998,779.97998,779.48999,779.82819,5052
2026-08-05 10:11,779.625,780.05499,779.58002,780.04999,7491
2026-08-05 10:12,779.57501,779.78998,779.53003,779.61499,2422
2026-08-05 10:13,779.83002,779.92212,779.5,779.565,4269
2026-08-05 10:14,779.89001,780.17499,779.78998,779.84998,3337
2026-08-05 10:15,779.94,780.10999,779.83002,779.94,2158
2026-08-05 10:16,779.63,779.98999,779.57501,779.90997,9449
2026-08-05 10:17,779.90503,779.90503,779.59003,779.65002,4446
2026-08-05 10:18,779.95502,779.96503,779.70001,779.90997,6123
2026-08-05 10:19,779.35999,779.96002,779.35999,779.90997,4966
2026-08-05 10:20,779.27002,779.39001,779.15002,779.29999,5283
2026-08-05 10:21,779.07501,779.42999,779.0,779.25,3334
2026-08-05 10:22,778.95001,779.15503,778.84998,779.14001,9586
2026-08-05 10:23,778.685,778.96002,778.48999,778.91998,9936
2026-08-05 10:24,779.40002,779.44,778.65997,778.6601,5794
2026-08-05 10:25,779.57001,779.81,779.46997,779.55011,2793
2026-08-05 10:26,779.09003,779.46002,779.09003,779.33002,16751
